id;familia;severidade;titulo;status;bloqueia;score
G-01;Gate FEED;Alta;Caso de desenvolvimento controlado (reconciliar poços/perfis);aberto;Base FEED de facilidades;30
G-13;Gate FEED;Alta;Regulatório/social/segurança (matriz de aprovação);aberto;Construção e operação de campo;30
G-02;Gate FEED;Alta;PVT e amostragem de fluidos pressurizados;aberto;Freeze de bombas/linhas/tratamento;27
G-03;Gate FEED;Alta;Capacidade brownfield FSB (survey/integridade/relief);aberto;AFE de upgrade do FSB;27
G-04;Gate FEED;Alta;Modelo de rede multiphase (transiente + 4/6/8 pol);aberto;Compra de trunk/bombas;27
FA-01;Flow Assurance;Alta;Commingling/back-out entre poços (pressão de manifold);aberto;FEED blocker;27
FA-04;Flow Assurance;Alta;Surge de líquido induzido por pig;aberto;FEED blocker;27
FA-05;Flow Assurance;Alta;Bombas multiphase fora do envelope (GVF/viscosidade/areia);aberto;FEED blocker;27
FA-10;Flow Assurance;Alta;Exportação de gás (condensação/off-spec LNG);aberto;FEED blocker;27
FA-11;Flow Assurance;Alta;Exportação de crude (surge/column separation);aberto;FEED blocker;27
OT-02;Outros;Alta;FSB brownfield capacidade/integridade desconhecida;aberto;FEED blocker;27
G-05;Gate FEED;Alta;Pigging e dimensionamento de slug;aberto;Freeze de trunk/vaso de entrada;24
G-06;Gate FEED;Alta;ESD/PSD e relief (HAZOP/LOPA/SIL/flare);aberto;Emissão para construção/PSSR;24
G-12;Gate FEED;Alta;Garantia crude/export (LACT/integridade/marinho);aberto;Sanção terminal/exportação;24
OT-01;Outros;Alta;Staging de desenvolvimento (casos distintos somados);aberto;Source reconciliation;24
G-07;Gate FEED;Alta;Energia e black start (lista de carga/estabilidade);aberto;Compra de geradores/switchgear;21
G-08;Gate FEED;Alta;Injeção de água (spec/injetividade/fratura);aberto;AFE da planta de água;21
FA-06;Flow Assurance;Alta;Depósitos (cera/hidrato/asfalteno) indefinidos;aberto;Data absent;21
FA-07;Flow Assurance;Alta;Sólidos/integridade (areia/erosão/corrosão);aberto;Data absent;21
FA-08;Flow Assurance;Alta;Qualidade de separação (emulsão/espuma);aberto;Data absent;21
G-09;Gate FEED;Alta;Interface Boscan (pressão/spec/rota/título);aberto;AFE do piloto de exportação;18
FA-09;Flow Assurance;Alta;Sistema de água (scale/MIC/oxigênio/injetividade);aberto;Scope conflict;18
FA-03;Flow Assurance;Alta;Flex pipe pigável não qualificado para o projeto;aberto;Qualified option;15
FA-02;Flow Assurance;Alta;Dimensionamento de trunk (6 pol uniforme não provado);aberto;Screening only;12
G-10;Gate FEED;Média;Economia NGL (composição/simulação/mercado);aberto;AFE do pacote NGL;10
G-11;Gate FEED;Média;LNG Palmarejo (pretreatment/Cryobox/BOG/ISO-tank);aberto;AFE de LNG;10
